,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
942,26-100,1.0,Not eligible for coverage / N/A,No,I don't know,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Wouldn't want to risk job,No,As above,"Yes, I think it would",Maybe,Not open at all,No,I don't know,Yes,Yes,No,0,Not applicable to me,Sometimes,28,Female,Front-end Developer,Always
943,500-1000,1.0,Yes,No,No,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"Some physical health has stigma attached, other does not.",Maybe,I cannot explain,"No, I don't think it would",Maybe,Somewhat not open,No,Yes,No,No,No,0,Rarely,Rarely,38,Male,Back-end Developer|DevOps/SysAdmin,Always
944,500-1000,0.0,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,If it would require minor accommodations that would not be perceived as overly onerous.,No,"The one time I did in the past, the interviewer clearly wrote me off immediately.
Now, I try to judge whether an organization would be a supportive environment without outing myself. It’s a lot easier to ask for accommodation after getting hired and demonstrating the ability to do the job than to give the employer a reason not to hire you in the first place.","Yes, it has","No, I don't think they would",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,38,Male,Front-end Developer|Designer,Sometimes
945,More than 1000,1.0,I don't know,I am not sure,I don't know,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Fear of discrimination,Yes,Stigma,"No, I don't think it would","No, I don't think they would",Very open,No,Yes,Yes,No,Yes,1,Not applicable to me,Not applicable to me,34,Male,Other,Sometimes
946,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,None of their bizniz,No,None of their binniz,"Yes, I think it would","Yes, I think they would",Somewhat open,No,I don't know,Yes,No,Yes,1,Never,Sometimes,36,Male,Executive Leadership|Supervisor/Team Lead|Back-end Developer|Front-end Developer|Designer,Sometimes
947,6-25,1.0,I don't know,No,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Fear of discrimination,No,Stigma,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Male,Back-end Developer,Sometimes
948,100-500,0.0,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,Maybe,No,Yes,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,No,"Bias happens. I wouldn't want it to be a factor. However, I'm overweight, and I know it's been a factor in some interviews. Can't hide that. Even though that is the only thing I have wrong with me.",No,"If I was mentally unstable or unable to work regular hours, I could bias my own interview with this information.","Yes, it has",Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Rarely,Often,40,Female,Other,Sometimes
949,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"Depends, if it affected the job then yes I would talk about it. ",Maybe,Depends if it affects job in anyway. ,Maybe,Maybe,Very open,No,No,Yes,Yes,Yes,1,Never,Sometimes,39,Male,Back-end Developer,Always
950,26-100,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Not comfortable speaking about anything health related at work.,No,Don't want to set a bad precedent. ,Maybe,Maybe,Not open at all,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,28,Male,Front-end Developer,Never
951,6-25,1.0,I don't know,No,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,Front-end Developer|Back-end Developer,Sometimes
952,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,If it affected my ability to perform the job or get/to from work. ,No,I feel like mental health is a private issue,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,32,Male,DevOps/SysAdmin,Always
953,More than 1000,0.0,Yes,No,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Maybe,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,I would rather have our conversation and my qualifications be the focus of an interview.,No,I would rather have our conversation and my qualifications be the focus of an interview.,Maybe,"No, I don't think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,0,Rarely,Sometimes,32,Male,Other,Never
954,More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Yes,Fear of discrimination,Maybe,Stigma,Maybe,Maybe,Somewhat open,No,Yes,Yes,Maybe,Yes,1,Sometimes,Often,27,Male,Other|DevOps/SysAdmin|Back-end Developer,Never
955,100-500,1.0,No,No,No,No,I don't know,I don't know,Yes,No,No,No,I don't know,No,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always","Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,If it affect my job performance they should know,Maybe,It is not treated with respect,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,No,Yes,No,Yes,1,Never,Rarely,33,Male,Front-end Developer|Back-end Developer,Never
956,100-500,0.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,This is a personal matter and I don't feel that I have to mention it if it does not impact my ability to work. ,No,Most of employers would refuse to hire me in my opinion. ,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,Supervisor/Team Lead|DevOps/SysAdmin|Front-end Developer|Back-end Developer,Never
957,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,Would lower chances of getting the job,No,would certainly mean no job,"Yes, I think it would","Yes, I think they would",Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Rarely,Often,38,Female,Supervisor/Team Lead,Sometimes
958,More than 1000,0.0,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Does not seem relevant or helpful to bring up in interview.,No,Does not seem beneficial to bring up in interview.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Supervisor/Team Lead|Back-end Developer,Never
959,26-100,1.0,Yes,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Other than perhaps asking about benefits that I would need/want it's not really their business unless it impacts my daily work.,No,"I would not want to risk possible discrimination.  Even if it's illegal, it can bias opinions.",Maybe,Maybe,Somewhat open,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,39,Male,Other|Back-end Developer|Supervisor/Team Lead,Sometimes
960,More than 1000,0.0,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,No,It isn't something they should use to determine if I'm a good candidate for the job,No,It isn't a reason they should use to determine if I'm qualified for the job,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Supervisor/Team Lead,Never
961,100-500,0.0,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Maybe,No,No,1,I don't know,"No, I only became aware later",None did,None did,Sometimes,Some of them,Some of them,"No, at none of my previous employers",I don't know,None did,None of them,Yes,If my potential employer needs to know (that it may affect my work) I feel its best to be honest so they know what they are getting if I joined their company,No,Not everyone regards mental health as realistic; its kind of an enigma as to treatment options,Maybe,Maybe,Somewhat open,"Yes, I observed",No,No,Yes,No,0,Never,Rarely,34,Male,Back-end Developer,Sometimes
962,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,If I thought it would impact my chances at getting a job wouldn't bring it up unless asked.,No,Would feel it would negatively impact my chances.  So only if it was asked.,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,44,Female,Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead|Executive Leadership,Always
963,500-1000,0.0,Yes,I am not sure,No,No,I don't know,Very easy,No,No,Yes,Maybe,No,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,"It seems like it would influence decisionmaking, even subconsciously.",No,"I'm fairly certain that would influence decisionmaking. There are so many ways to get away with discriminating on that basis, they can just chalk it up to 'cultural fit'","No, I don't think it would","No, I don't think they would",Very open,No,No,Yes,No,No,1,Sometimes,Often,42,Male,Supervisor/Team Lead,Always
964,6-25,0.0,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,I feel physical injuries are more acceptable now.,No,I would be afraid that I would be looked-over.,"Yes, I think it would",Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,Front-end Developer|Designer,Always
965,26-100,0.0,Yes,No,No,No,No,Somewhat difficult,Yes,No,Maybe,Yes,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Physical stuff happens so there isn't a stigma attached to a physical health issue like there is with a mental health issue.,No,"Tech industry attitudes such as working long hours expected, peer arrogance, judgemental, etc. present a culture of intolerance, but over the past several years, I have noticed some improvement.  Plus, I'm more of a private person.",Maybe,Maybe,Very open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,55,Male,Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Never
966,26-100,1.0,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always","Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,would be afraid not to put the best foot forward,No,believe it would be an automatic red flag,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,46,Male,Back-end Developer,Sometimes
